date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:45	5356/5356	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2216f9a6e2f633cb1a4895feb78b3de75a%22	https://airenga.xyz/robots.txt		(from )
14:45:46	28725/28725	---MCZ	200	added ('OK')	text/html	etag:W/%224cbae9008ea1373f07b9abcf55af5620%22	https://airenga.xyz/	/Users/oneilbenjamin/websites/bbrick/index-2.html	(from )
14:45:49	12014/12014	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2232849423702f35d58abfbe4976dcd703%22	https://airenga.xyz/favicon.ico	/Users/oneilbenjamin/websites/bbrick/favicon.ico	(from https://airenga.xyz/)
14:45:49	454718/454718	---M--	200	added ('OK')	image/png	etag:%2279087856ef4056bbbd710a81a8a7fbb7%22	https://airenga.xyz/images/logo.png	/Users/oneilbenjamin/websites/bbrick/images/logo.png	(from https://airenga.xyz/)
14:45:51	61254/61254	---MCZ	200	added ('OK')	text/css	etag:W/%22a03c5255de51be9c05c076557cca50eb%22	https://airenga.xyz/_next/static/css/08390b9008943db6.css	/Users/oneilbenjamin/websites/bbrick/_next/static/css/08390b9008943db6.css	(from https://airenga.xyz/)
14:45:53	91434/91434	---MCZ	200	added ('OK')	application/javascript	etag:W/%2299442aec5788bccac9b2f0ead2afdd6b%22	https://airenga.xyz/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	/Users/oneilbenjamin/websites/bbrick/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	(from https://airenga.xyz/)
14:45:53	2292/2292	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d44664751fff21e96b4d7ec7e10f870f%22	https://airenga.xyz/_next/static/chunks/webpack-5761f3a204ffdf4a.js	/Users/oneilbenjamin/websites/bbrick/_next/static/chunks/webpack-5761f3a204ffdf4a.js	(from https://airenga.xyz/)
14:45:53	130001/130001	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d89236800dc0bf66b0ce16c4656a7e56%22	https://airenga.xyz/_next/static/chunks/framework-bb5c596eafb42b22.js	/Users/oneilbenjamin/websites/bbrick/_next/static/chunks/framework-bb5c596eafb42b22.js	(from https://airenga.xyz/)
14:45:56	100856/100856	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f189361470d2f7b88972f8a96fcfcae4%22	https://airenga.xyz/_next/static/chunks/main-962cddc7834d5ac9.js	/Users/oneilbenjamin/websites/bbrick/_next/static/chunks/main-962cddc7834d5ac9.js	(from https://airenga.xyz/)
14:45:57	91636/91636	---MCZ	200	added ('OK')	application/javascript	etag:W/%22de3c77a0505c644c2b58de33b9fe2fd2%22	https://airenga.xyz/_next/static/chunks/954-732ccfa34e11a04f.js	/Users/oneilbenjamin/websites/bbrick/_next/static/chunks/954-732ccfa34e11a04f.js	(from https://airenga.xyz/)
